week_start_date,ward,organism,antibiotic,susceptibility_percent,total_tested
2020-11-11,ICU,Pseudomonas aeruginosa,Meropenem,77.25,2
2020-11-18,ICU,Pseudomonas aeruginosa,Meropenem,66.68,13
2020-11-25,ICU,Pseudomonas aeruginosa,Meropenem,64.32,15
2020-12-02,ICU,Pseudomonas aeruginosa,Meropenem,83.65,11
2020-12-09,ICU,Pseudomonas aeruginosa,Meropenem,78.26,14
2020-12-16,ICU,Pseudomonas aeruginosa,Meropenem,79.7,15
2020-12-23,ICU,Pseudomonas aeruginosa,Meropenem,80.65,11
2020-12-30,ICU,Pseudomonas aeruginosa,Meropenem,77.0,6
2021-01-06,ICU,Pseudomonas aeruginosa,Meropenem,83.8,24
2021-01-13,ICU,Pseudomonas aeruginosa,Meropenem,72.55,15
2021-01-20,ICU,Pseudomonas aeruginosa,Meropenem,76.07,14
2021-01-27,ICU,Pseudomonas aeruginosa,Meropenem,93.49,7
2021-02-03,ICU,Pseudomonas aeruginosa,Meropenem,71.52,15
2021-02-10,ICU,Pseudomonas aeruginosa,Meropenem,82.67,20
2021-02-17,ICU,Pseudomonas aeruginosa,Meropenem,84.46,8
2021-02-24,ICU,Pseudomonas aeruginosa,Meropenem,75.99,9
2021-03-03,ICU,Pseudomonas aeruginosa,Meropenem,75.6,8
2021-03-10,ICU,Pseudomonas aeruginosa,Meropenem,78.36,7
2021-03-17,ICU,Pseudomonas aeruginosa,Meropenem,73.71,19
2021-03-24,ICU,Pseudomonas aeruginosa,Meropenem,96.65,12
2021-03-31,ICU,Pseudomonas aeruginosa,Meropenem,77.95,21
2021-04-07,ICU,Pseudomonas aeruginosa,Meropenem,92.69,14
2021-04-14,ICU,Pseudomonas aeruginosa,Meropenem,97.07,16
2021-04-21,ICU,Pseudomonas aeruginosa,Meropenem,90.29,8
2021-04-28,ICU,Pseudomonas aeruginosa,Meropenem,78.16,2
2021-05-05,ICU,Pseudomonas aeruginosa,Meropenem,81.74,19
2021-05-12,ICU,Pseudomonas aeruginosa,Meropenem,85.8,20
2021-05-19,ICU,Pseudomonas aeruginosa,Meropenem,79.97,4
2021-05-26,ICU,Pseudomonas aeruginosa,Meropenem,84.96,19
2021-06-02,ICU,Pseudomonas aeruginosa,Meropenem,75.26,22
2021-06-09,ICU,Pseudomonas aeruginosa,Meropenem,89.54,12
2021-06-16,ICU,Pseudomonas aeruginosa,Meropenem,79.99,18
2021-06-23,ICU,Pseudomonas aeruginosa,Meropenem,69.96,12
2021-06-30,ICU,Pseudomonas aeruginosa,Meropenem,69.33,10
2021-07-07,ICU,Pseudomonas aeruginosa,Meropenem,65.47,8
2021-07-14,ICU,Pseudomonas aeruginosa,Meropenem,72.02,21
2021-07-21,ICU,Pseudomonas aeruginosa,Meropenem,73.2,10
2021-07-28,ICU,Pseudomonas aeruginosa,Meropenem,63.28,15
2021-08-04,ICU,Pseudomonas aeruginosa,Meropenem,71.32,17
2021-08-11,ICU,Pseudomonas aeruginosa,Meropenem,64.67,12
2021-08-18,ICU,Pseudomonas aeruginosa,Meropenem,75.25,16
2021-08-25,ICU,Pseudomonas aeruginosa,Meropenem,74.51,16
2021-09-01,ICU,Pseudomonas aeruginosa,Meropenem,81.6,5
2021-09-08,ICU,Pseudomonas aeruginosa,Meropenem,63.94,11
2021-09-15,ICU,Pseudomonas aeruginosa,Meropenem,72.3,17
2021-09-22,ICU,Pseudomonas aeruginosa,Meropenem,66.38,12
2021-09-29,ICU,Pseudomonas aeruginosa,Meropenem,72.62,13
2021-10-06,ICU,Pseudomonas aeruginosa,Meropenem,68.18,11
2021-10-13,ICU,Pseudomonas aeruginosa,Meropenem,74.18,23
2021-10-20,ICU,Pseudomonas aeruginosa,Meropenem,71.37,19
2021-10-27,ICU,Pseudomonas aeruginosa,Meropenem,63.33,10
2021-11-03,ICU,Pseudomonas aeruginosa,Meropenem,66.27,11
2021-11-10,ICU,Pseudomonas aeruginosa,Meropenem,80.66,21
2021-11-17,ICU,Pseudomonas aeruginosa,Meropenem,75.45,22
2021-11-24,ICU,Pseudomonas aeruginosa,Meropenem,74.25,19
2021-12-01,ICU,Pseudomonas aeruginosa,Meropenem,84.97,21
2021-12-08,ICU,Pseudomonas aeruginosa,Meropenem,80.16,19
2021-12-15,ICU,Pseudomonas aeruginosa,Meropenem,85.94,14
2021-12-22,ICU,Pseudomonas aeruginosa,Meropenem,78.94,19
2021-12-29,ICU,Pseudomonas aeruginosa,Meropenem,87.39,21
2022-01-05,ICU,Pseudomonas aeruginosa,Meropenem,89.52,15
2022-01-12,ICU,Pseudomonas aeruginosa,Meropenem,75.86,14
2022-01-19,ICU,Pseudomonas aeruginosa,Meropenem,88.27,24
2022-01-26,ICU,Pseudomonas aeruginosa,Meropenem,78.85,15
2022-02-02,ICU,Pseudomonas aeruginosa,Meropenem,81.42,21
2022-02-09,ICU,Pseudomonas aeruginosa,Meropenem,84.85,14
2022-02-16,ICU,Pseudomonas aeruginosa,Meropenem,83.13,13
2022-02-23,ICU,Pseudomonas aeruginosa,Meropenem,86.77,7
2022-03-02,ICU,Pseudomonas aeruginosa,Meropenem,68.87,22
2022-03-09,ICU,Pseudomonas aeruginosa,Meropenem,89.02,15
2022-03-16,ICU,Pseudomonas aeruginosa,Meropenem,82.34,23
2022-03-23,ICU,Pseudomonas aeruginosa,Meropenem,74.51,17
2022-03-30,ICU,Pseudomonas aeruginosa,Meropenem,92.08,14
2022-04-06,ICU,Pseudomonas aeruginosa,Meropenem,86.83,14
2022-04-13,ICU,Pseudomonas aeruginosa,Meropenem,97.48,17
2022-04-20,ICU,Pseudomonas aeruginosa,Meropenem,90.17,21
2022-04-27,ICU,Pseudomonas aeruginosa,Meropenem,76.07,17
2022-05-04,ICU,Pseudomonas aeruginosa,Meropenem,88.23,5
2022-05-11,ICU,Pseudomonas aeruginosa,Meropenem,96.07,19
2022-05-18,ICU,Pseudomonas aeruginosa,Meropenem,81.83,13
2022-05-25,ICU,Pseudomonas aeruginosa,Meropenem,82.42,14
2022-06-01,ICU,Pseudomonas aeruginosa,Meropenem,80.96,6
2022-06-08,ICU,Pseudomonas aeruginosa,Meropenem,80.37,4
2022-06-15,ICU,Pseudomonas aeruginosa,Meropenem,84.18,10
2022-06-22,ICU,Pseudomonas aeruginosa,Meropenem,98.3,8
2022-06-29,ICU,Pseudomonas aeruginosa,Meropenem,81.5,9
2022-07-06,ICU,Pseudomonas aeruginosa,Meropenem,73.55,12
2022-07-13,ICU,Pseudomonas aeruginosa,Meropenem,75.91,11
2022-07-20,ICU,Pseudomonas aeruginosa,Meropenem,87.28,20
2022-07-27,ICU,Pseudomonas aeruginosa,Meropenem,81.53,10
2022-08-03,ICU,Pseudomonas aeruginosa,Meropenem,85.86,10
2022-08-10,ICU,Pseudomonas aeruginosa,Meropenem,71.31,7
2022-08-17,ICU,Pseudomonas aeruginosa,Meropenem,85.9,17
2022-08-24,ICU,Pseudomonas aeruginosa,Meropenem,87.65,21
2022-08-31,ICU,Pseudomonas aeruginosa,Meropenem,92.47,12
2022-09-07,ICU,Pseudomonas aeruginosa,Meropenem,82.33,13
2022-09-14,ICU,Pseudomonas aeruginosa,Meropenem,74.94,20
2022-09-21,ICU,Pseudomonas aeruginosa,Meropenem,79.06,16
2022-09-28,ICU,Pseudomonas aeruginosa,Meropenem,81.46,11
2022-10-05,ICU,Pseudomonas aeruginosa,Meropenem,75.79,12
2022-10-12,ICU,Pseudomonas aeruginosa,Meropenem,69.33,12
2022-10-19,ICU,Pseudomonas aeruginosa,Meropenem,64.92,14
2022-10-26,ICU,Pseudomonas aeruginosa,Meropenem,76.53,16
2022-11-02,ICU,Pseudomonas aeruginosa,Meropenem,66.36,26
2022-11-09,ICU,Pseudomonas aeruginosa,Meropenem,77.45,14
2022-11-16,ICU,Pseudomonas aeruginosa,Meropenem,81.61,17
2022-11-23,ICU,Pseudomonas aeruginosa,Meropenem,76.45,21
2022-11-30,ICU,Pseudomonas aeruginosa,Meropenem,75.36,10
2022-12-07,ICU,Pseudomonas aeruginosa,Meropenem,78.44,12
2022-12-14,ICU,Pseudomonas aeruginosa,Meropenem,83.03,9
2022-12-21,ICU,Pseudomonas aeruginosa,Meropenem,79.11,14
2022-12-28,ICU,Pseudomonas aeruginosa,Meropenem,73.91,17
2023-01-04,ICU,Pseudomonas aeruginosa,Meropenem,90.94,16
2023-01-11,ICU,Pseudomonas aeruginosa,Meropenem,85.44,22
2023-01-18,ICU,Pseudomonas aeruginosa,Meropenem,87.98,14
2023-01-25,ICU,Pseudomonas aeruginosa,Meropenem,80.17,22
2023-02-01,ICU,Pseudomonas aeruginosa,Meropenem,78.84,26
2023-02-08,ICU,Pseudomonas aeruginosa,Meropenem,84.98,20
2023-02-15,ICU,Pseudomonas aeruginosa,Meropenem,89.25,15
2023-02-22,ICU,Pseudomonas aeruginosa,Meropenem,88.76,13
2023-03-01,ICU,Pseudomonas aeruginosa,Meropenem,92.92,7
2023-03-08,ICU,Pseudomonas aeruginosa,Meropenem,88.42,15
2023-03-15,ICU,Pseudomonas aeruginosa,Meropenem,95.3,21
2023-03-22,ICU,Pseudomonas aeruginosa,Meropenem,74.96,15
2023-03-29,ICU,Pseudomonas aeruginosa,Meropenem,89.45,24
2023-04-05,ICU,Pseudomonas aeruginosa,Meropenem,89.05,8
2023-04-12,ICU,Pseudomonas aeruginosa,Meropenem,88.24,15
2023-04-19,ICU,Pseudomonas aeruginosa,Meropenem,80.73,5
2023-04-26,ICU,Pseudomonas aeruginosa,Meropenem,88.05,1
2023-05-03,ICU,Pseudomonas aeruginosa,Meropenem,90.04,17
2023-05-10,ICU,Pseudomonas aeruginosa,Meropenem,94.8,14
2023-05-17,ICU,Pseudomonas aeruginosa,Meropenem,78.86,19
2023-05-24,ICU,Pseudomonas aeruginosa,Meropenem,80.22,15
2023-05-31,ICU,Pseudomonas aeruginosa,Meropenem,82.79,13
2023-06-07,ICU,Pseudomonas aeruginosa,Meropenem,96.75,11
2023-06-14,ICU,Pseudomonas aeruginosa,Meropenem,90.33,16
2023-06-21,ICU,Pseudomonas aeruginosa,Meropenem,87.39,11
2023-06-28,ICU,Pseudomonas aeruginosa,Meropenem,95.05,20
2023-07-05,ICU,Pseudomonas aeruginosa,Meropenem,76.87,13
2023-07-12,ICU,Pseudomonas aeruginosa,Meropenem,93.75,10
2023-07-19,ICU,Pseudomonas aeruginosa,Meropenem,80.8,17
2023-07-26,ICU,Pseudomonas aeruginosa,Meropenem,81.91,24
2023-08-02,ICU,Pseudomonas aeruginosa,Meropenem,91.04,11
2023-08-09,ICU,Pseudomonas aeruginosa,Meropenem,80.68,18
2023-08-16,ICU,Pseudomonas aeruginosa,Meropenem,93.09,22
2023-08-23,ICU,Pseudomonas aeruginosa,Meropenem,76.38,8
2023-08-30,ICU,Pseudomonas aeruginosa,Meropenem,75.86,21
2023-09-06,ICU,Pseudomonas aeruginosa,Meropenem,87.44,21
2023-09-13,ICU,Pseudomonas aeruginosa,Meropenem,59.2,6
2023-09-20,ICU,Pseudomonas aeruginosa,Meropenem,90.81,14
2023-09-27,ICU,Pseudomonas aeruginosa,Meropenem,73.41,13
2023-10-04,ICU,Pseudomonas aeruginosa,Meropenem,80.67,14
2023-10-11,ICU,Pseudomonas aeruginosa,Meropenem,85.41,17
2023-10-18,ICU,Pseudomonas aeruginosa,Meropenem,86.31,17
2023-10-25,ICU,Pseudomonas aeruginosa,Meropenem,82.63,13
2023-11-01,ICU,Pseudomonas aeruginosa,Meropenem,78.82,19
2023-11-08,ICU,Pseudomonas aeruginosa,Meropenem,83.64,23
2023-11-15,ICU,Pseudomonas aeruginosa,Meropenem,86.38,11
2023-11-22,ICU,Pseudomonas aeruginosa,Meropenem,66.45,14
2023-11-29,ICU,Pseudomonas aeruginosa,Meropenem,69.82,11
2023-12-06,ICU,Pseudomonas aeruginosa,Meropenem,80.63,14
2023-12-13,ICU,Pseudomonas aeruginosa,Meropenem,86.36,9
2023-12-20,ICU,Pseudomonas aeruginosa,Meropenem,99.14,17
2023-12-27,ICU,Pseudomonas aeruginosa,Meropenem,80.17,19
2024-01-03,ICU,Pseudomonas aeruginosa,Meropenem,87.39,7
2024-01-10,ICU,Pseudomonas aeruginosa,Meropenem,92.02,11
2024-01-17,ICU,Pseudomonas aeruginosa,Meropenem,83.95,8
2024-01-24,ICU,Pseudomonas aeruginosa,Meropenem,88.62,14
2024-01-31,ICU,Pseudomonas aeruginosa,Meropenem,92.23,10
2024-02-07,ICU,Pseudomonas aeruginosa,Meropenem,87.8,13
2024-02-14,ICU,Pseudomonas aeruginosa,Meropenem,96.34,13
2024-02-21,ICU,Pseudomonas aeruginosa,Meropenem,90.35,14
2024-02-28,ICU,Pseudomonas aeruginosa,Meropenem,94.03,17
2024-03-06,ICU,Pseudomonas aeruginosa,Meropenem,85.8,11
2024-03-13,ICU,Pseudomonas aeruginosa,Meropenem,100.0,10
2024-03-20,ICU,Pseudomonas aeruginosa,Meropenem,91.24,17
2024-03-27,ICU,Pseudomonas aeruginosa,Meropenem,95.38,15
2024-04-03,ICU,Pseudomonas aeruginosa,Meropenem,94.59,14
2024-04-10,ICU,Pseudomonas aeruginosa,Meropenem,90.21,26
2024-04-17,ICU,Pseudomonas aeruginosa,Meropenem,98.45,16
2024-04-24,ICU,Pseudomonas aeruginosa,Meropenem,92.7,19
2024-05-01,ICU,Pseudomonas aeruginosa,Meropenem,92.09,15
2024-05-08,ICU,Pseudomonas aeruginosa,Meropenem,85.07,11
2024-05-15,ICU,Pseudomonas aeruginosa,Meropenem,91.55,22
2024-05-22,ICU,Pseudomonas aeruginosa,Meropenem,82.99,16
2024-05-29,ICU,Pseudomonas aeruginosa,Meropenem,81.78,22
2024-06-05,ICU,Pseudomonas aeruginosa,Meropenem,87.63,14
2024-06-12,ICU,Pseudomonas aeruginosa,Meropenem,77.17,9
2024-06-19,ICU,Pseudomonas aeruginosa,Meropenem,88.33,16
2024-06-26,ICU,Pseudomonas aeruginosa,Meropenem,85.81,18
2024-07-03,ICU,Pseudomonas aeruginosa,Meropenem,96.96,12
2024-07-10,ICU,Pseudomonas aeruginosa,Meropenem,70.64,21
2024-07-17,ICU,Pseudomonas aeruginosa,Meropenem,85.74,17
2024-07-24,ICU,Pseudomonas aeruginosa,Meropenem,75.55,9
2024-07-31,ICU,Pseudomonas aeruginosa,Meropenem,84.08,16
2024-08-07,ICU,Pseudomonas aeruginosa,Meropenem,86.13,13
2024-08-14,ICU,Pseudomonas aeruginosa,Meropenem,72.09,10
2024-08-21,ICU,Pseudomonas aeruginosa,Meropenem,77.35,13
2024-08-28,ICU,Pseudomonas aeruginosa,Meropenem,78.4,18
2024-09-04,ICU,Pseudomonas aeruginosa,Meropenem,77.36,19
2024-09-11,ICU,Pseudomonas aeruginosa,Meropenem,73.81,18
2024-09-18,ICU,Pseudomonas aeruginosa,Meropenem,86.22,14
2024-09-25,ICU,Pseudomonas aeruginosa,Meropenem,87.67,21
2024-10-02,ICU,Pseudomonas aeruginosa,Meropenem,72.46,16
2024-10-09,ICU,Pseudomonas aeruginosa,Meropenem,71.97,20
2024-10-16,ICU,Pseudomonas aeruginosa,Meropenem,88.44,6
2024-10-23,ICU,Pseudomonas aeruginosa,Meropenem,76.62,16
2024-10-30,ICU,Pseudomonas aeruginosa,Meropenem,83.76,6
2024-11-06,ICU,Pseudomonas aeruginosa,Meropenem,77.89,19
2024-11-13,ICU,Pseudomonas aeruginosa,Meropenem,82.99,8
2024-11-20,ICU,Pseudomonas aeruginosa,Meropenem,73.7,18
2024-11-27,ICU,Pseudomonas aeruginosa,Meropenem,82.33,20
2024-12-04,ICU,Pseudomonas aeruginosa,Meropenem,87.11,18
2024-12-11,ICU,Pseudomonas aeruginosa,Meropenem,86.62,9
2024-12-18,ICU,Pseudomonas aeruginosa,Meropenem,77.12,14
2020-01-01,ICU,Pseudomonas aeruginosa,Imipenem,71.09,22
2020-01-08,ICU,Pseudomonas aeruginosa,Imipenem,79.13,14
2020-01-15,ICU,Pseudomonas aeruginosa,Imipenem,88.71,15
2020-01-22,ICU,Pseudomonas aeruginosa,Imipenem,69.85,16
2020-01-29,ICU,Pseudomonas aeruginosa,Imipenem,84.44,17
2020-02-05,ICU,Pseudomonas aeruginosa,Imipenem,70.78,17
2020-02-12,ICU,Pseudomonas aeruginosa,Imipenem,83.85,7
2020-02-19,ICU,Pseudomonas aeruginosa,Imipenem,86.01,14
2020-02-26,ICU,Pseudomonas aeruginosa,Imipenem,67.95,18
2020-03-04,ICU,Pseudomonas aeruginosa,Imipenem,69.04,14
2020-03-11,ICU,Pseudomonas aeruginosa,Imipenem,72.86,23
2020-03-18,ICU,Pseudomonas aeruginosa,Imipenem,75.0,14
2020-03-25,ICU,Pseudomonas aeruginosa,Imipenem,89.17,15
2020-04-01,ICU,Pseudomonas aeruginosa,Imipenem,89.36,11
2020-04-08,ICU,Pseudomonas aeruginosa,Imipenem,73.72,21
2020-04-15,ICU,Pseudomonas aeruginosa,Imipenem,77.38,6
2020-04-22,ICU,Pseudomonas aeruginosa,Imipenem,68.64,17
2020-04-29,ICU,Pseudomonas aeruginosa,Imipenem,74.84,18
2020-05-06,ICU,Pseudomonas aeruginosa,Imipenem,69.15,11
2020-05-13,ICU,Pseudomonas aeruginosa,Imipenem,74.68,16
2020-05-20,ICU,Pseudomonas aeruginosa,Imipenem,81.83,23
2020-05-27,ICU,Pseudomonas aeruginosa,Imipenem,84.56,8
2020-06-03,ICU,Pseudomonas aeruginosa,Imipenem,81.62,8
2020-06-10,ICU,Pseudomonas aeruginosa,Imipenem,73.61,11
2020-06-17,ICU,Pseudomonas aeruginosa,Imipenem,67.44,15
2020-06-24,ICU,Pseudomonas aeruginosa,Imipenem,82.41,10
2020-07-01,ICU,Pseudomonas aeruginosa,Imipenem,72.56,19
2020-07-08,ICU,Pseudomonas aeruginosa,Imipenem,70.51,21
2020-07-15,ICU,Pseudomonas aeruginosa,Imipenem,68.97,11
2020-07-22,ICU,Pseudomonas aeruginosa,Imipenem,85.47,14
2020-07-29,ICU,Pseudomonas aeruginosa,Imipenem,67.64,11
2020-08-05,ICU,Pseudomonas aeruginosa,Imipenem,60.6,15
2020-08-12,ICU,Pseudomonas aeruginosa,Imipenem,67.27,18
2020-08-19,ICU,Pseudomonas aeruginosa,Imipenem,80.71,14
2020-08-26,ICU,Pseudomonas aeruginosa,Imipenem,69.4,19
2020-09-02,ICU,Pseudomonas aeruginosa,Imipenem,67.37,13
2020-09-09,ICU,Pseudomonas aeruginosa,Imipenem,72.41,16
2020-09-16,ICU,Pseudomonas aeruginosa,Imipenem,61.83,13
2020-09-23,ICU,Pseudomonas aeruginosa,Imipenem,63.39,17
2020-09-30,ICU,Pseudomonas aeruginosa,Imipenem,69.01,17
2020-10-07,ICU,Pseudomonas aeruginosa,Imipenem,64.19,19
2020-10-14,ICU,Pseudomonas aeruginosa,Imipenem,77.47,15
2020-10-21,ICU,Pseudomonas aeruginosa,Imipenem,61.53,21
2020-10-28,ICU,Pseudomonas aeruginosa,Imipenem,69.78,14
2020-11-04,ICU,Pseudomonas aeruginosa,Imipenem,65.44,12
2020-11-11,ICU,Pseudomonas aeruginosa,Imipenem,71.34,11
2020-11-18,ICU,Pseudomonas aeruginosa,Imipenem,56.84,11
2020-11-25,ICU,Pseudomonas aeruginosa,Imipenem,60.14,23
2020-12-02,ICU,Pseudomonas aeruginosa,Imipenem,72.78,13
2020-12-09,ICU,Pseudomonas aeruginosa,Imipenem,66.27,12
2020-12-16,ICU,Pseudomonas aeruginosa,Imipenem,62.11,15
2020-12-23,ICU,Pseudomonas aeruginosa,Imipenem,69.06,15
2020-12-30,ICU,Pseudomonas aeruginosa,Imipenem,76.18,18
2021-01-06,ICU,Pseudomonas aeruginosa,Imipenem,54.26,14
2021-01-13,ICU,Pseudomonas aeruginosa,Imipenem,73.21,20
2021-01-20,ICU,Pseudomonas aeruginosa,Imipenem,79.03,15
2021-01-27,ICU,Pseudomonas aeruginosa,Imipenem,78.63,6
2021-02-03,ICU,Pseudomonas aeruginosa,Imipenem,67.65,23
2021-02-10,ICU,Pseudomonas aeruginosa,Imipenem,72.02,25
2021-02-17,ICU,Pseudomonas aeruginosa,Imipenem,69.8,8
2021-02-24,ICU,Pseudomonas aeruginosa,Imipenem,64.33,10
2021-03-03,ICU,Pseudomonas aeruginosa,Imipenem,84.96,7
2021-03-10,ICU,Pseudomonas aeruginosa,Imipenem,86.51,14
2021-03-17,ICU,Pseudomonas aeruginosa,Imipenem,70.79,11
2021-03-24,ICU,Pseudomonas aeruginosa,Imipenem,76.84,20
2021-03-31,ICU,Pseudomonas aeruginosa,Imipenem,77.0,17
2021-04-07,ICU,Pseudomonas aeruginosa,Imipenem,69.99,13
2021-04-14,ICU,Pseudomonas aeruginosa,Imipenem,79.01,16
2021-04-21,ICU,Pseudomonas aeruginosa,Imipenem,67.01,15
2021-04-28,ICU,Pseudomonas aeruginosa,Imipenem,96.51,11
2021-05-05,ICU,Pseudomonas aeruginosa,Imipenem,73.28,11
2021-05-12,ICU,Pseudomonas aeruginosa,Imipenem,85.96,15
2021-05-19,ICU,Pseudomonas aeruginosa,Imipenem,69.93,8
2021-05-26,ICU,Pseudomonas aeruginosa,Imipenem,82.63,13
2021-06-02,ICU,Pseudomonas aeruginosa,Imipenem,73.74,21
2021-06-09,ICU,Pseudomonas aeruginosa,Imipenem,77.52,24
2021-06-16,ICU,Pseudomonas aeruginosa,Imipenem,70.9,9
2021-06-23,ICU,Pseudomonas aeruginosa,Imipenem,70.9,16
2021-06-30,ICU,Pseudomonas aeruginosa,Imipenem,73.98,12
2021-07-07,ICU,Pseudomonas aeruginosa,Imipenem,74.75,16
2021-07-14,ICU,Pseudomonas aeruginosa,Imipenem,68.86,11
2021-07-21,ICU,Pseudomonas aeruginosa,Imipenem,69.44,9
2021-07-28,ICU,Pseudomonas aeruginosa,Imipenem,68.09,7
2021-08-04,ICU,Pseudomonas aeruginosa,Imipenem,59.25,16
2021-08-11,ICU,Pseudomonas aeruginosa,Imipenem,76.96,11
2021-08-18,ICU,Pseudomonas aeruginosa,Imipenem,61.77,10
2021-08-25,ICU,Pseudomonas aeruginosa,Imipenem,69.91,10
2021-09-01,ICU,Pseudomonas aeruginosa,Imipenem,72.38,13
2021-09-08,ICU,Pseudomonas aeruginosa,Imipenem,77.42,15
2021-09-15,ICU,Pseudomonas aeruginosa,Imipenem,71.17,17
2021-09-22,ICU,Pseudomonas aeruginosa,Imipenem,67.9,9
2021-09-29,ICU,Pseudomonas aeruginosa,Imipenem,65.42,8
2021-10-06,ICU,Pseudomonas aeruginosa,Imipenem,67.47,10
2021-10-13,ICU,Pseudomonas aeruginosa,Imipenem,68.16,17
2021-10-20,ICU,Pseudomonas aeruginosa,Imipenem,62.94,13
2021-10-27,ICU,Pseudomonas aeruginosa,Imipenem,63.77,25
2021-11-03,ICU,Pseudomonas aeruginosa,Imipenem,74.01,23
2021-11-10,ICU,Pseudomonas aeruginosa,Imipenem,70.51,23
2021-11-17,ICU,Pseudomonas aeruginosa,Imipenem,84.56,16
2021-11-24,ICU,Pseudomonas aeruginosa,Imipenem,71.79,15
2021-12-01,ICU,Pseudomonas aeruginosa,Imipenem,72.27,12
2021-12-08,ICU,Pseudomonas aeruginosa,Imipenem,81.68,13
2021-12-15,ICU,Pseudomonas aeruginosa,Imipenem,75.73,16
2021-12-22,ICU,Pseudomonas aeruginosa,Imipenem,82.94,6
2021-12-29,ICU,Pseudomonas aeruginosa,Imipenem,72.87,12
2022-01-05,ICU,Pseudomonas aeruginosa,Imipenem,83.82,12
2022-01-12,ICU,Pseudomonas aeruginosa,Imipenem,77.77,16
2022-01-19,ICU,Pseudomonas aeruginosa,Imipenem,68.56,14
2022-01-26,ICU,Pseudomonas aeruginosa,Imipenem,82.12,14
2022-02-02,ICU,Pseudomonas aeruginosa,Imipenem,74.03,19
2022-02-09,ICU,Pseudomonas aeruginosa,Imipenem,68.47,7
2022-02-16,ICU,Pseudomonas aeruginosa,Imipenem,89.25,11
2022-02-23,ICU,Pseudomonas aeruginosa,Imipenem,84.8,18
2022-03-02,ICU,Pseudomonas aeruginosa,Imipenem,77.02,13
2022-03-09,ICU,Pseudomonas aeruginosa,Imipenem,89.32,20
2022-03-16,ICU,Pseudomonas aeruginosa,Imipenem,85.81,11
